,Test,Die,VDD (V),,Freq (GHz),Comp. level (dB),Pin_comp(dBm),Pout_comp (dBm),Linear Gain,Id (mA),,,,,,,,,,,,,,,,
693862,PDB2,AD28,5,#,12,1,-4.76,12.81,18.58,59.61,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD28,5,#,0.5,3,4.75,18.06,16.31,68.174,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD28,5,#,2,3,3.47,17.28,16.8,67.713,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD28,5,#,6,3,3.8,17.36,16.56,67.304,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD28,5,#,8,3,3.5,17.38,16.88,63.923,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD28,5,#,12,3,-0.18,15.4,18.58,61.405,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,0.5,1,0.92,16.3,16.38,64.985,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,2,1,-0.27,15.6,16.88,63.741,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,6,1,-0.05,15.58,16.63,63.586,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,8,1,-0.66,15.29,16.96,61.699,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,12,1,-4.91,12.8,18.72,60.035,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,0.5,3,4.73,18.11,16.38,68.437,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,2,3,3.47,17.35,16.88,68.001,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,6,3,3.77,17.41,16.63,67.55,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,8,3,3.48,17.45,16.96,64.115,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD29,5,#,12,3,-0.3,15.41,18.72,61.625,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,0.5,1,0.97,16.32,16.35,65.028,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,2,1,-0.18,15.67,16.85,63.779,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,6,1,-0.06,15.56,16.62,63.546,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,8,1,-0.64,15.3,16.95,61.721,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,12,1,-4.89,12.83,18.73,59.983,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,0.5,3,4.76,18.12,16.35,68.57,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,2,3,3.52,17.37,16.85,68.102,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,6,3,3.81,17.44,16.62,67.579,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,8,3,3.51,17.46,16.95,64.104,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD30,5,#,12,3,-0.28,15.44,18.73,61.611,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,0.5,1,0.45,15.82,16.37,63.861,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,2,1,-0.52,15.34,16.86,63.237,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,6,1,-0.39,15.25,16.64,63.039,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,8,1,-1.02,14.93,16.95,61.429,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,12,1,-5.36,12.37,18.74,60.032,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,0.5,3,4.31,17.69,16.37,66.386,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,2,3,3.14,17,16.86,66.352,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,6,3,3.47,17.12,16.64,66.225,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,8,3,3.19,17.15,16.95,63.127,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD35,5,#,12,3,-0.74,15,18.74,61.074,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD36,5,#,0.5,1,-0.05,15.29,16.35,62.035,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
