,Test,Die,VDD (V),,,,,,,VG1 (V),IDD (A),,,,,,,,,,,,,,,
693862,TCC2,AP45,5,#,#,#,#,#,#,-0.35125,0.05789,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP46,5,#,#,#,#,#,#,-0.35125,0.05823,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP47,5,#,#,#,#,#,#,-0.35125,0.05765,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP48,5,#,#,#,#,#,#,-0.3546875,0.05796,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP49,5,#,#,#,#,#,#,-0.35125,0.05835,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP50,5,#,#,#,#,#,#,-0.3546875,0.058,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP55,5,#,#,#,#,#,#,-0.3478125,0.05806,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP56,5,#,#,#,#,#,#,-0.35125,0.05796,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP57,5,#,#,#,#,#,#,-0.3546875,0.05787,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP58,5,#,#,#,#,#,#,-0.365,0.05792,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV25,5,#,#,#,#,#,#,-0.413125,0.05839,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV26,5,#,#,#,#,#,#,-0.413125,0.05817,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV27,5,#,#,#,#,#,#,-0.399375,0.05744,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV28,5,#,#,#,#,#,#,-0.40625,0.05833,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV29,5,#,#,#,#,#,#,-0.4028125,0.05813,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV30,5,#,#,#,#,#,#,-0.40625,0.05747,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV40,5,#,#,#,#,#,#,-0.37875,0.0575,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV45,5,#,#,#,#,#,#,-0.37875,0.05755,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV46,5,#,#,#,#,#,#,-0.385625,0.05754,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV47,5,#,#,#,#,#,#,-0.385625,0.05806,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV48,5,#,#,#,#,#,#,-0.3925,0.0576,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,F27,5,#,#,#,#,#,#,-0.43375,0.05784,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,F28,5,#,#,#,#,#,#,-0.426875,0.05855,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,F29,5,#,#,#,#,#,#,-0.42,0.05841,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,F30,5,#,#,#,#,#,#,-0.42,0.05775,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L15,5,#,#,#,#,#,#,-0.46125,0.05823,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L16,5,#,#,#,#,#,#,-0.454375,0.05774,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L17,5,#,#,#,#,#,#,-0.4475,0.05781,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L18,5,#,#,#,#,#,#,-0.4475,0.05777,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L19,5,#,#,#,#,#,#,-0.43375,0.05848,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,L20,5,#,#,#,#,#,#,-0.4371875,0.05792,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
