,Test,Die,VDD (V),,,,Id (mA),,Freq (GHz),Pin (dBm),,Pin (dBm),,Pout (dBm),Gain (dB),,,,,,,,,,,
693862,POW1,AD15,5,#,#,#,66.16,#,0.5,2,#,2.00625,#,17.248,15.248,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,66.73,#,2,2,#,2.000313,#,17.085,15.085,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,65.78,#,6,2,#,2.028437,#,16.897,14.897,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,62.51,#,8,2,#,2.084,#,16.971,14.971,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,64.75,#,12,2,#,2.024688,#,16.739,14.739,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,67.2,#,0.5,3,#,2.99125,#,17.736,14.736,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,67.99,#,2,3,#,3.012313,#,17.428,14.428,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,66.71,#,6,3,#,3.016437,#,17.256,14.256,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,63.6,#,8,3,#,3.074,#,17.34,14.34,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,65.7,#,12,3,#,3.025688,#,17.058,14.058,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,68.22,#,0.5,4,#,3.99825,#,18.154,14.154,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,69.1,#,2,4,#,4.017313,#,17.659,13.659,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,67.89,#,6,4,#,4.025437,#,17.571,13.571,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,65.13,#,8,4,#,4.076,#,17.625,13.625,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,66.65,#,12,4,#,4.023688,#,17.333,13.333,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,69.04,#,0.5,5,#,4.99625,#,18.509,13.509,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,70.13,#,2,5,#,5.006313,#,17.835,12.835,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,68.88,#,6,5,#,5.039437,#,17.75,12.75,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,66.59,#,8,5,#,5.078,#,17.799,12.799,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,67.65,#,12,5,#,5.012688,#,17.527,12.527,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,69.64,#,0.5,6,#,5.99525,#,18.814,12.814,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,70.94,#,2,6,#,6.001313,#,17.955,11.955,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,69.7,#,6,6,#,6.037437,#,17.833,11.833,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,67.83,#,8,6,#,6.07,#,17.98,11.98,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,68.87,#,12,6,#,6.014688,#,17.715,11.715,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.64,#,0.5,-9,#,-9.04175,#,7.606,16.606,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.09,#,2,-9,#,-9.008687,#,7.994,16.994,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.17,#,6,-9,#,-9.050563,#,7.732,16.732,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.33,#,8,-9,#,-8.989,#,8.048,17.048,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.72,#,12,-9,#,-8.971312,#,9.601,18.601,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.9,#,0.5,-8,#,-7.98175,#,8.648,16.648,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.55,#,2,-8,#,-8.017687,#,8.973,16.973,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.57,#,6,-8,#,-8.056563,#,8.729,16.729,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.65,#,8,-8,#,-7.989,#,9.082,17.082,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,59.09,#,12,-8,#,-7.979312,#,10.576,18.576,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,59.2,#,0.5,-7,#,-6.98875,#,9.622,16.622,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.94,#,2,-7,#,-7.024687,#,9.956,16.956,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.91,#,6,-7,#,-7.061563,#,9.714,16.714,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,58.96,#,8,-7,#,-7.004,#,10.05,17.05,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,59.43,#,12,-7,#,-6.981312,#,11.579,18.579,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,59.6,#,0.5,-6,#,-5.96875,#,10.608,16.608,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,59.35,#,2,-6,#,-6.026687,#,10.906,16.906,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,59.33,#,6,-6,#,-6.065563,#,10.651,16.651,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,59.27,#,8,-6,#,-6.006,#,11.04,17.04,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,59.7,#,12,-6,#,-6.000312,#,12.213,18.213,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD16,5,#,#,#,60.05,#,0.5,-5,#,-4.96675,#,11.573,16.573,#,#,#,#,#,#,#,#,#,#,#
