,RK,NAME,POS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,GAME LOG PAGE
27,108,Royce O'Neale,SF,UTAH,82,20.4,-1.44,2.29,0.85,4.35,http://www.espn.com/nba/player/gamelog/_/id/2583632/royce-o'neale
28,109,Luol Deng,SF,MIN,22,17.8,-0.67,1.47,0.80,1.01,http://www.espn.com/nba/player/gamelog/_/id/2429/luol-deng
29,110,Khem Birch,C,ORL,50,12.9,-0.65,1.42,0.77,1.55,http://www.espn.com/nba/player/gamelog/_/id/2578240/khem-birch
30,111,Goran Dragic,PG,MIA,36,27.5,0.42,0.34,0.76,2.40,http://www.espn.com/nba/player/gamelog/_/id/3423/goran-dragic
31,112,Noah Vonleh,PF,NY,68,25.3,-0.92,1.65,0.73,4.24,http://www.espn.com/nba/player/gamelog/_/id/3078284/noah-vonleh
32,113,Jonas Valanciunas,C,TOR/MEM,49,22.3,-0.95,1.63,0.68,2.66,http://www.espn.com/nba/player/gamelog/_/id/6477/jonas-valanciunas
33,114,Maurice Harkless,SF,POR,60,23.6,-1.13,1.81,0.68,3.34,http://www.espn.com/nba/player/gamelog/_/id/6591/maurice-harkless
34,115,Aron Baynes,C,BOS,51,16.1,-2.03,2.65,0.62,2.02,http://www.espn.com/nba/player/gamelog/_/id/2968439/aron-baynes
35,116,Jerami Grant,SF,OKC,80,32.7,-0.25,0.87,0.62,6.42,http://www.espn.com/nba/player/gamelog/_/id/2991070/jerami-grant
36,117,Devin Booker,SG,PHX,64,35.0,3.06,-2.46,0.60,5.20,http://www.espn.com/nba/player/gamelog/_/id/3136193/devin-booker
37,118,Buddy Hield,SG,SAC,82,31.9,1.95,-1.42,0.53,6.36,http://www.espn.com/nba/player/gamelog/_/id/2990984/buddy-hield
38,119,Jarrett Allen,C,BKN,80,26.2,-0.79,1.32,0.53,4.90,http://www.espn.com/nba/player/gamelog/_/id/4066328/jarrett-allen
39,120,Tomas Satoransky,SG,WSH,80,27.1,0.62,-0.12,0.50,4.90,http://www.espn.com/nba/player/gamelog/_/id/6621/tomas-satoransky
0,121,Marvin Williams,PF,CHA,75,28.4,0.17,0.31,0.48,4.88,http://www.espn.com/nba/player/gamelog/_/id/2797/marvin-williams
1,122,Tyson Chandler,C,LAL/PHX,55,15.9,-3.26,3.72,0.46,2.05,http://www.espn.com/nba/player/gamelog/_/id/984/tyson-chandler
2,123,Gordon Hayward,SF,BOS,72,25.9,1.02,-0.60,0.42,4.17,http://www.espn.com/nba/player/gamelog/_/id/4249/gordon-hayward
